city,cloud,country,humidity,latitude,temp,wind
kisangani,88,cd,100,0.52,71.57,2.73
garissa,92,ke,96,-0.46,74.0,1.39
souillac,0,mu,82,45.6,55.4,3.36
porbandar,64,in,86,21.64,77.69,9.33
busselton,0,au,100,-33.64,57.17,9.6
santiago,0,cl,28,-33.44,79.54,10.29
takoradi,12,gh,97,4.89,81.83,9.55
brae,92,gb,93,60.4,42.55,6.93
visnes,0,no,87,59.36,44.6,4.7
qaanaaq,80,gl,100,77.48,6.14,3.78
owando,80,cg,83,-0.49,75.8,2.84
touros,24,br,90,-5.2,80.48,7.25
nouadhibou,0,mr,68,20.93,68.0,17.22
saint george,20,bm,82,39.45,59.0,2.24
cape town,0,za,87,-33.93,60.8,19.46
sawtell,0,au,82,-30.38,64.4,6.93
barrow,0,us,41,-38.31,69.14,14.07
khatanga,68,ru,81,71.98,7.94,11.45
mataura,24,pf,83,-46.19,34.49,5.57
hofn,64,is,95,64.25,43.22,13.13
whitley bay,0,gb,66,55.04,48.54,2.24
puerto ayora,40,ec,74,-0.74,78.8,12.75
kargopol,0,ru,86,61.51,33.23,11.16
mahon,75,es,100,51.89,48.2,23.04
bethel,90,us,100,60.79,33.8,4.7
hermanus,24,za,93,-34.42,54.29,4.79
rocha,8,uy,64,-34.48,66.44,9.82
lisieux,56,fr,93,49.15,51.22,1.12
rikitea,68,pf,100,-23.12,79.94,15.08
georgetown,75,sh,69,6.8,82.4,16.11
palu,56,id,99,-0.9,66.62,1.32
jamestown,92,sh,91,-33.21,57.62,14.7
adrar,0,dz,13,27.87,73.4,17.22
buala,80,sb,96,-8.15,81.65,3.89
butaritari,36,ki,100,3.07,83.0,8.81
hobart,20,au,65,-42.88,44.6,14.99
ponta do sol,56,cv,67,-20.63,74.9,3.33
nikolskoye,0,ru,45,59.7,44.6,2.77
butembo,88,cd,99,0.12,60.95,2.62
ushuaia,40,ar,62,-54.81,53.6,16.11
albany,75,au,47,42.65,45.07,19.46
kapaa,90,us,88,22.08,73.4,18.34
bukachacha,0,ru,64,52.99,18.65,3.11
kavieng,64,pg,100,-2.57,84.62,11.05
yar-sale,88,ru,90,66.83,23.15,20.07
pevek,0,ru,75,69.7,13.7,7.81
aksay,0,kz,48,47.27,41.69,6.58
derzhavinsk,0,kz,81,51.1,25.67,3.22
hambantota,48,lk,100,6.12,79.58,2.89
atuona,68,pf,100,-9.8,81.65,18.61
upernavik,36,gl,100,72.79,10.55,15.64
thompson,90,ca,33,55.74,30.2,10.29
tiksi,0,ru,61,71.64,16.13,7.87
kandara,0,ke,32,25.72,76.7,4.85
smidovich,80,ru,54,48.6,36.38,12.12
sapouy,64,bf,83,11.55,81.29,5.23
agbor,64,ng,73,6.26,82.46,9.93
roald,0,no,75,62.58,45.64,3.36
fort nelson,75,ca,52,58.81,42.8,5.82
marsa matruh,0,eg,68,31.35,69.8,10.29
chapais,1,ca,39,49.78,12.2,12.75
padang,76,id,100,-0.92,80.57,8.81
tazovskiy,68,ru,83,67.47,15.59,8.55
san patricio,0,mx,70,-26.98,81.29,4.74
cayambe,80,ec,87,0.04,51.77,1.83
puerto leguizamo,92,co,95,-0.19,73.37,0.54
viseu,20,br,76,40.66,57.2,9.17
ribeira grande,20,pt,67,38.52,59.0,6.93
karwar,8,in,84,14.8,74.9,1.72
comodoro rivadavia,0,ar,36,-45.87,78.8,9.17
port-gentil,40,ga,94,-0.72,78.8,4.7
buchanan,75,lr,88,5.88,80.6,6.13
dapaong,24,tg,70,10.86,82.64,3.74
tarbes,0,fr,66,43.23,56.37,3.36
port hardy,90,ca,81,50.7,44.6,3.36
peniche,75,pt,76,39.36,56.44,11.41
bawku,24,gh,70,11.06,82.64,3.74
meulaboh,20,id,100,4.14,76.79,4.0
yining,8,cn,92,29.04,39.89,2.21
cururupu,44,br,90,-1.82,79.4,4.23
santiago del estero,92,ar,78,-27.8,65.99,4.79
anloga,20,gh,83,5.79,82.4,13.87
manta,8,ec,80,45.1,58.07,5.12
port hawkesbury,75,ca,42,45.62,28.4,29.97
mumford,0,gh,84,5.26,80.57,10.94
miraflores,88,co,99,5.2,55.37,2.1
thinadhoo,12,mv,100,0.53,84.62,4.85
victoria,75,sc,100,5.28,77.92,8.88
port macquarie,0,au,67,-31.43,62.6,5.82
chuy,56,uy,76,-33.69,68.33,12.39
